 [2019/9/9 11:10:47 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 11:10:47 , Normal] -> 设置轴向归零参数 
 [2019/9/9 11:10:47 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 11:10:48 , Normal] -> 水平轴向归零成功 
 [2019/9/9 11:10:48 , Normal] -> 所有坐标清零成功 
 [2019/9/9 11:11:19 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 11:11:19 , Normal] -> 设置轴向归零参数 
 [2019/9/9 11:11:19 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 11:11:19 , Normal] -> 水平轴向归零成功 
 [2019/9/9 11:11:19 , Normal] -> 所有坐标清零成功 
 [2019/9/9 11:12:28 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 11:12:28 , Normal] -> 设置轴向归零参数 
 [2019/9/9 11:12:28 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 11:12:29 , Normal] -> 水平轴向归零成功 
 [2019/9/9 11:12:29 , Normal] -> 所有坐标清零成功 
 [2019/9/9 11:13:45 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 11:13:45 , Normal] -> 设置轴向归零参数 
 [2019/9/9 11:13:45 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 11:13:45 , Normal] -> 水平轴向归零成功 
 [2019/9/9 11:13:45 , Normal] -> 所有坐标清零成功 
 [2019/9/9 11:14:11 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 11:14:11 , Normal] -> 设置轴向归零参数 
 [2019/9/9 11:14:11 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 11:14:11 , Normal] -> 水平轴向归零成功 
 [2019/9/9 11:14:11 , Normal] -> 所有坐标清零成功 
 [2019/9/9 11:14:40 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 11:14:40 , Normal] -> 设置轴向归零参数 
 [2019/9/9 11:14:40 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 11:14:41 , Normal] -> 水平轴向归零成功 
 [2019/9/9 11:14:41 , Normal] -> 所有坐标清零成功 
 [2019/9/9 11:16:42 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 11:16:42 , Normal] -> 设置轴向归零参数 
 [2019/9/9 11:16:42 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 11:16:43 , Normal] -> 水平轴向归零成功 
 [2019/9/9 11:16:43 , Normal] -> 所有坐标清零成功 
 [2019/9/9 11:18:36 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 11:18:36 , Normal] -> 设置轴向归零参数 
 [2019/9/9 11:18:37 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 11:18:37 , Normal] -> 水平轴向归零成功 
 [2019/9/9 11:18:37 , Normal] -> 所有坐标清零成功 
 [2019/9/9 13:11:03 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 13:11:03 , Normal] -> 设置轴向归零参数 
 [2019/9/9 13:11:03 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 13:11:04 , Normal] -> 水平轴向归零成功 
 [2019/9/9 13:11:04 , Normal] -> 所有坐标清零成功 
 [2019/9/9 13:11:47 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 13:11:47 , Normal] -> 设置轴向归零参数 
 [2019/9/9 13:11:47 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 13:11:48 , Normal] -> 水平轴向归零成功 
 [2019/9/9 13:11:48 , Normal] -> 所有坐标清零成功 
 [2019/9/9 13:12:08 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 13:12:08 , Normal] -> 设置轴向归零参数 
 [2019/9/9 13:12:08 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 13:12:08 , Normal] -> 水平轴向归零成功 
 [2019/9/9 13:12:08 , Normal] -> 所有坐标清零成功 
 [2019/9/9 13:12:32 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 13:12:32 , Normal] -> 设置轴向归零参数 
 [2019/9/9 13:12:32 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 13:12:32 , Normal] -> 水平轴向归零成功 
 [2019/9/9 13:12:32 , Normal] -> 所有坐标清零成功 
 [2019/9/9 13:13:29 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 13:13:29 , Normal] -> 设置轴向归零参数 
 [2019/9/9 13:13:29 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 13:13:29 , Normal] -> 水平轴向归零成功 
 [2019/9/9 13:13:29 , Normal] -> 所有坐标清零成功 
 [2019/9/9 13:14:21 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 13:14:21 , Normal] -> 设置轴向归零参数 
 [2019/9/9 13:14:21 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 13:14:23 , Normal] -> 水平轴向归零成功 
 [2019/9/9 13:14:23 , Normal] -> 所有坐标清零成功 
 [2019/9/9 13:14:49 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 13:14:49 , Normal] -> 设置轴向归零参数 
 [2019/9/9 13:14:49 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 13:14:49 , Normal] -> 水平轴向归零成功 
 [2019/9/9 13:14:49 , Normal] -> 所有坐标清零成功 
 [2019/9/9 13:15:14 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 13:15:14 , Normal] -> 设置轴向归零参数 
 [2019/9/9 13:15:15 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 13:15:15 , Normal] -> 水平轴向归零成功 
 [2019/9/9 13:15:15 , Normal] -> 所有坐标清零成功 
 [2019/9/9 13:16:02 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 13:16:02 , Normal] -> 设置轴向归零参数 
 [2019/9/9 13:16:02 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 13:16:02 , Normal] -> 水平轴向归零成功 
 [2019/9/9 13:16:02 , Normal] -> 所有坐标清零成功 
 [2019/9/9 13:25:43 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 13:25:43 , Normal] -> 设置轴向归零参数 
 [2019/9/9 13:25:43 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 13:25:44 , Normal] -> 水平轴向归零成功 
 [2019/9/9 13:25:44 , Normal] -> 所有坐标清零成功 
 [2019/9/9 13:51:03 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 13:51:03 , Normal] -> 设置轴向归零参数 
 [2019/9/9 13:51:03 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 13:51:05 , Normal] -> 水平轴向归零成功 
 [2019/9/9 13:51:05 , Normal] -> 所有坐标清零成功 
 [2019/9/9 14:00:41 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 14:00:41 , Normal] -> 设置轴向归零参数 
 [2019/9/9 14:01:10 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 14:01:10 , Normal] -> 设置轴向归零参数 
 [2019/9/9 14:01:11 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 14:01:13 , Normal] -> 水平轴向归零成功 
 [2019/9/9 14:01:13 , Normal] -> 所有坐标清零成功 
 [2019/9/9 14:06:35 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 14:06:35 , Normal] -> 设置轴向归零参数 
 [2019/9/9 14:06:35 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 14:06:35 , Normal] -> 水平轴向归零成功 
 [2019/9/9 14:06:35 , Normal] -> 所有坐标清零成功 
 [2019/9/9 14:07:19 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 14:07:19 , Normal] -> 设置轴向归零参数 
 [2019/9/9 14:07:19 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 14:07:20 , Normal] -> 水平轴向归零成功 
 [2019/9/9 14:07:20 , Normal] -> 所有坐标清零成功 
 [2019/9/9 14:07:54 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 14:07:54 , Normal] -> 设置轴向归零参数 
 [2019/9/9 14:07:54 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 14:07:55 , Normal] -> 水平轴向归零成功 
 [2019/9/9 14:07:55 , Normal] -> 所有坐标清零成功 
 [2019/9/9 14:08:04 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 14:08:04 , Normal] -> 设置轴向归零参数 
 [2019/9/9 14:08:04 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 14:08:05 , Normal] -> 水平轴向归零成功 
 [2019/9/9 14:08:05 , Normal] -> 所有坐标清零成功 
 [2019/9/9 14:08:30 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 14:08:30 , Normal] -> 设置轴向归零参数 
 [2019/9/9 14:08:32 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 14:08:32 , Normal] -> 水平轴向归零成功 
 [2019/9/9 14:08:32 , Normal] -> 所有坐标清零成功 
 [2019/9/9 15:17:52 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 15:17:52 , Normal] -> 设置轴向归零参数 
 [2019/9/9 15:17:52 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 15:17:52 , Normal] -> 水平轴向归零成功 
 [2019/9/9 15:17:52 , Normal] -> 所有坐标清零成功 
 [2019/9/9 15:18:58 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 15:18:58 , Normal] -> 设置轴向归零参数 
 [2019/9/9 15:18:58 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 15:18:59 , Normal] -> 水平轴向归零成功 
 [2019/9/9 15:18:59 , Normal] -> 所有坐标清零成功 
 [2019/9/9 15:20:43 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 15:20:43 , Normal] -> 设置轴向归零参数 
 [2019/9/9 15:20:43 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 15:20:43 , Normal] -> 水平轴向归零成功 
 [2019/9/9 15:20:43 , Normal] -> 所有坐标清零成功 
 [2019/9/9 15:24:27 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 15:24:27 , Normal] -> 设置轴向归零参数 
 [2019/9/9 15:24:27 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 15:24:27 , Normal] -> 水平轴向归零成功 
 [2019/9/9 15:24:27 , Normal] -> 所有坐标清零成功 
 [2019/9/9 15:38:51 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 15:38:51 , Normal] -> 设置轴向归零参数 
 [2019/9/9 15:38:51 , Normal] -> 所有垂直轴向归零成功 
 [2019/9/9 15:38:52 , Normal] -> 水平轴向归零成功 
 [2019/9/9 15:38:52 , Normal] -> 所有坐标清零成功 
 [2019/9/9 15:53:18 , Normal] -> 开始回零操作，停止任何操作！ 
 [2019/9/9 15:53:18 , Normal] -> 设置轴向归零参数 
 [2019/9/9 15:53:18 , Erro] -> 回零失败Device_Link_LTSMC.LSTMCException: Z正在执行上一次的任务，请先关闭或结束前一次的任务!
   在 Device_Link_LTSMC.LTSMC_Axis.CheckAxis()
   在 Device_Link_LTSMC.LTSMC_Axis.PositionZeroClear()
   在 Device_Link_LTSMC.Device_Net_LSTMC.AllToClearPositionZero()
   在 ControlDec.ConDevice.ClearPiont(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 421
   在 ControlDec.ConDevice.AxisRunToZero(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 105 
 [2019/9/9 15:53:18 , Erro] -> 回零失败Device_Link_LTSMC.LSTMCException: W正在执行上一次的任务，请先关闭或结束前一次的任务!
   在 Device_Link_LTSMC.LTSMC_Axis.CheckAxis()
   在 Device_Link_LTSMC.LTSMC_Axis.PositionZeroClear()
   在 Device_Link_LTSMC.Device_Net_LSTMC.AllToClearPositionZero()
   在 ControlDec.ConDevice.ClearPiont(Axis axis) 位置 C:\Users\ASUS\Desktop\20190826-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 421
