[2019/10/21 12:58:21 , Normal] -> 设备初始化失败！内容Device_Link_LTSMC.LSTMCException: 错误信息:错误Cannot_be_connected : 无法连接
, 错误编码:8 , 错误函数:LinkDevice, 错误轴向:总控制
   在 Device_Link_LTSMC.Device_Net_LSTMC.CallBack(String optionFunction, Int16[] erroCodes)
   在 Device_Link_LTSMC.Device_Net_LSTMC.LinkDevice()
   在 ControlDec.ConDevice.Link(Dictionary`2 infos) 位置 G:\新建文件夹\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\20191014-RZ-GemaControl\AxisMovement\ControlDec\ConDevice.cs:行号 185 
 [2019/10/21 12:58:21 , Normal] -> 启动服务器成功 
 [2019/10/21 12:58:21 , Normal] -> 连接错误System.ArgumentNullException: 值不能为 null。
参数名: PortName
   在 System.IO.Ports.SerialPort.set_PortName(String value)
   在 ControlLib.ControlCom.Open() 位置 G:\新建文件夹\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\20191014-RZ-GemaControl\AxisMovement\ControlLib\ControlCom.cs:行号 93
   在 TaskOption.TaskFormat.Link(String ip, Int32 port) 位置 G:\新建文件夹\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\CHQSave-8d66df6e3dfd9e11badf05d140f9e3691389164b\20191014-RZ-GemaControl\AxisMovement\TaskOption\TaskFormat.cs:行号 204 
 [2019/10/21 12:58:26 , Waring] -> 读取坐标信息异常 
 [2019/10/21 12:58:26 , Erro] -> System.InvalidOperationException: 在创建窗口句柄之前，不能在控件上调用 Invoke 或 BeginInvoke。
   在 System.Windows.Forms.Control.MarshaledInvoke(Control caller, Delegate method, Object[] args, Boolean synchronous)
   在 System.Windows.Forms.Control.BeginInvoke(Delegate method, Object[] args)
   在 RZ_AutoGemaControl.GameConsole.<>c__DisplayClass49_0.<GetCoordinates>b__0() 
 [2019/10/21 13:14:02 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:03 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:03 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:04 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:04 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:04 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:04 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:05 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:05 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:06 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:06 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:08 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:08 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:09 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:09 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:09 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:09 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:10 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:10 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:11 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:14:11 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:14:11 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:14:11 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:11 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:12 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:12 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:13 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:13 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:14 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:14 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:15 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:14:15 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:14:15 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:14:15 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:15 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:16 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:14:16 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:14:16 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:14:17 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:17 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:17 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:17 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:18 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:18 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:18 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:18 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:19 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:19 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:20 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:20 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:20 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:20 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:21 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:21 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:22 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:22 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:23 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:23 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:23 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:23 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:24 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:24 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:25 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:25 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:26 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:26 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:27 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:27 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:31 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:14:32 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:14:32 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:14:32 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:14:32 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:14:32 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:14:34 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:14:34 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:14:34 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:14:35 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:14:35 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:14:35 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:14:53 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:53 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:14:53 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:14:53 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:14:53 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:14:54 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:14:54 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:14:54 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:14:55 , Normal] -> 正在移动{0}轴X 
 [2019/10/21 13:14:55 , Normal] -> 正在移动{0}轴Y 
 [2019/10/21 13:14:55 , Normal] -> 正在移动{0}轴Z 
 [2019/10/21 13:14:59 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:14:59 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:00 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:00 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:01 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:02 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:02 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:02 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:04 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:04 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:04 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:04 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:05 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:05 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:05 , Normal] -> 正在移动{0}轴U 
 [2019/10/21 13:15:05 , Normal] -> 正在移动{0}轴V 
 [2019/10/21 13:15:06 , Normal] -> 正在移动{0}轴U 
